865.2000122070312 400.8000183105469, 651.6000366210938 1238.4000244140625
945.5617065429688 564.019287109375, 995.328125 566.0928955078125
864.0000610351562 328.8000183105469, 928.800048828125 430.5600280761719
881.280029296875 432.0000305175781, 1002.2400512695312 534.2400512695312
918.6049194335938 505.9584655761719, 781.0560913085938 374.9760437011719
819.0721435546875 1213.05615234375, 694.800048828125 1213.2000732421875
810.7777099609375 1227.5714111328125, 1329.1199951171875 1234.080078125
1409.760009765625 1224.0, 773.280029296875 829.4400634765625
945.216064453125 565.0560302734375, 993.60009765625 565.0560302734375
565.9200439453125 911.52001953125, 822.2400512695312 948.9600219726562
865.9356079101562 382.2060546875, 784.5120849609375 387.072021484375
866.764892578125 400.2048645019531, 904.75341796875 340.40228271484375
574.3872680664062 860.5441284179688, 1018.2208251953125 507.617431640625
947.52001953125 637.9200439453125, 699.6000366210938 1153.2000732421875
949.543212890625 566.1427612304688, 777.5504760742188 390.56683349609375
772.800048828125 381.6000061035156, 945.6000366210938 1179.60009765625
889.9201049804688 414.72003173828125, 976.320068359375 490.7520446777344
576.0 862.800048828125, 781.0560913085938 368.06402587890625
1052.6400146484375 1192.320068359375, 629.5451049804688 903.2603759765625
530.3109130859375 1182.4500732421875, 788.2999877929688 376.2341003417969
1411.0 1228.0, 965.0 473.0
867.4560546875 374.9760437011719, 1321.0 1239.0
773.0 1351.0, 781.0 374.0
1138.0 1198.0, 920.1600341796875 400.32000732421875
844.800048828125 321.6000061035156, 694.0800170898438 1213.9200439453125
1170.0 1202.4000244140625, 698.112060546875 1156.0321044921875
874.0 417.0, 958.800048828125 476.4000244140625
1054.080078125 1074.816162109375, 954.7200317382812 473.760009765625
1143.0350341796875 1207.5322265625, 910.6560668945312 393.9840393066406
782.3280029296875 391.16400146484375, 997.8165283203125 661.8932495117188
1351.296142578125 1086.912109375, 913.7113647460938 340.40228271484375
1415.3568115234375 1212.309814453125, 773.96728515625 419.2322692871094
923.1669311523438 505.12908935546875, 1017.6236572265625 508.81182861328125
777.0 389.0, 702.0 1215.0
872.6400146484375 413.280029296875, 955.5841064453125 473.4720458984375
1378.080078125 1137.60009765625, 1329.177734375 1233.7921142578125
874.3681030273438 364.6080322265625, 648.0 1168.800048828125
1383.0914306640625 1121.8177490234375, 998.7841186523438 625.5360717773438
528.76806640625 1184.0257568359375, 1321.920166015625 1240.7041015625
1425.8077392578125 1254.113525390625, 768.8910522460938 393.1546630859375
